Aria,darwin,win32,linux
application,AXApplication,,
window,AXWindow,,
button,AXButton,,
link,AXLink,,
textbox,AXTextField,,
textarea,AXTextArea,,
checkbox,AXCheckBox,,
radio,AXRadioButton,,
combobox,AXComboBox,,
listbox,AXList,,
list,AXList,,
listitem,AXStaticText,,
menu,AXMenu,,
menuitem,AXMenuItem,,
menubar,AXMenuBar,,
tab,AXTab,,
tablist,AXTabGroup,,
tabpanel,AXGroup,,
toolbar,AXToolbar,,
table,AXTable,,
row,AXRow,,
cell,AXCell,,
columnheader,AXColumnHeader,,
rowheader,AXRowHeader,,
dialog,AXSheet,,
group,AXGroup,,
heading,AXHeading,,
image,AXImage,,
separator,AXSplitter,,
scrollbar,AXScrollBar,,
slider,AXSlider,,
progressbar,AXProgressIndicator,,
spinbutton,AXIncrementor,,
document,AXDocument,,
tree,AXOutline,,
treeitem,AXRow,,
tooltip,AXHelpTag,,
status,AXStatusItem,,
popupbutton,AXPopUpButton,,
disclosuretriangle,AXDisclosureTriangle,,
text,AXStaticText,,
